ID,STORE,NAME,YEAR,VALUE,DESC
53,MC,Crazy Creatures with Popoids,1985,54.00,"Cajita Feliz de McDonald's (1985) - Crazy Creatures with Popoids, conjunto de juguetes."
54,MC,Commandrons,1985,54.00,"Cajita Feliz de McDonald's (1985) - Commandrons, conjunto de juguetes."
55,MC,Halloween Pails,1985,54.00,Cajita Feliz de McDonald's (1985) - Halloween Pails.
56,MC,Stomper Mini I 4x4 Push,1985,54.00,"Cajita Feliz de McDonald's (1985) - Stomper Mini I 4x4 Push, conjunto de juguetes."
57,MC,Astrosniks,1985,54.00,"Cajita Feliz de McDonald's (1985) - Astrosniks, conjunto de juguetes."
58,MC,Santa Claus: The Movie,1985,54.00,"Cajita Feliz de McDonald's (1985) - Santa Claus: The Movie, conjunto de juguetes."
59,MC,Feeling Good Happy Meal,1985,54.00,"Cajita Feliz de McDonald's (1985) - Feeling Good Happy Meal, conjunto de juguetes."
60,MC,Beach Ball Characters,1985,54.00,"Cajita Feliz de McDonald's (1985) - Beach Ball Characters, conjunto de juguetes."
61,MC,Crayola,1985,54.00,"Cajita Feliz de McDonald's (1985) - Crayola, conjunto de juguetes."
62,MC,Day & Night Happy Meal,1985,54.00,"Cajita Feliz de McDonald's (1985) - Day & Night Happy Meal, conjunto de juguetes."
63,MC,Fast Macs,1985,54.00,"Cajita Feliz de McDonald's (1985) - Fast Macs, conjunto de juguetes."
64,MC,Florida Beach Balls,1985,54.00,"Cajita Feliz de McDonald's (1985) - Florida Beach Balls, conjunto de juguetes."
65,MC,Hobby Box Happy Meal,1985,54.00,"Cajita Feliz de McDonald's (1985) - Hobby Box Happy Meal, conjunto de juguetes."
66,MC,Little Travelers/Super Travelers,1985,54.00,"Cajita Feliz de McDonald's (1985) - Little Travelers/Super Travelers, conjunto de juguetes."
67,MC,Music Happy Meal,1985,54.00,"Cajita Feliz de McDonald's (1985) - Music Happy Meal, conjunto de juguetes."
68,MC,On the Go Happy Meal,1985,54.00,"Cajita Feliz de McDonald's (1985) - On the Go Happy Meal, conjunto de juguetes."
69,MC,Toothbrush Happy Meal,1985,54.00,"Cajita Feliz de McDonald's (1985) - Toothbrush Happy Meal, conjunto de juguetes."
70,MC,Transformers/My Little Pony,1985,54.00,"Cajita Feliz de McDonald's (1985) - Transformers/My Little Pony, conjunto de juguetes."
71,MC,Wacky Glasses/Drinking Straws,1985,54.00,"Cajita Feliz de McDonald's (1985) - Wacky Glasses/Drinking Straws, conjunto de juguetes."
72,MC,Airport Happy Meal,1986,54.00,"Cajita Feliz de McDonald's (1986) - Airport Happy Meal, conjunto de juguetes."
73,MC,Old McDonald's Farm/Barnyard Happy Meal,1986,54.00,"Cajita Feliz de McDonald's (1986) - Old McDonald's Farm/Barnyard Happy Meal, conjunto de juguetes."
74,MC,Happy Pail Happy Meal,1986,54.00,Cajita Feliz de McDonald's (1986) - Happy Pail Happy Meal.
75,MC,Play,1986,54.00,"Cajita Feliz de McDonald's (1986) - Play, conjunto de juguetes."
76,MC,Stomper Mini 4x4s,1986,54.00,"Cajita Feliz de McDonald's (1986) - Stomper Mini 4x4s, conjunto de juguetes."
77,MC,Muppet Babies,1986,54.00,"Cajita Feliz de McDonald's (1986) - Muppet Babies, conjunto de juguetes."
78,MC,Young Astronauts,1986,54.00,"Cajita Feliz de McDonald's (1986) - Young Astronauts, conjunto de juguetes."
79,MC,Tinosaurs,1986,54.00,"Cajita Feliz de McDonald's (1986) - Tinosaurs, conjunto de juguetes."
80,MC,Halloween Pails,1986,54.00,Cajita Feliz de McDonald's (1986) - Halloween Pails.
81,MC,Lego,1986,54.00,"Cajita Feliz de McDonald's (1986) - Lego, conjunto de juguetes."
82,MC,An American Tail,1986,54.00,"Cajita Feliz de McDonald's (1986) - An American Tail, conjunto de juguetes."
83,MC,The Berenstain Bears,1986,54.00,"Cajita Feliz de McDonald's (1986) - The Berenstain Bears, conjunto de juguetes."
84,MC,Colorforms Happy Meal,1986,54.00,"Cajita Feliz de McDonald's (1986) - Colorforms Happy Meal, conjunto de juguetes."
85,MC,Beach Ball Happy Meal,1986,54.00,"Cajita Feliz de McDonald's (1986) - Beach Ball Happy Meal, conjunto de juguetes."
86,MC,Beachcomber Happy Meal,1986,54.00,"Cajita Feliz de McDonald's (1986) - Beachcomber Happy Meal, conjunto de juguetes."
87,MC,Construx,1986,54.00,"Cajita Feliz de McDonald's (1986) - Construx, conjunto de juguetes."
88,MC,Crayola,1986,54.00,"Cajita Feliz de McDonald's (1986) - Crayola, conjunto de juguetes."
89,MC,Glo,1986,54.00,"Cajita Feliz de McDonald's (1986) - Glo, conjunto de juguetes."
90,MC,Story of Texas Happy Meal,1986,54.00,"Cajita Feliz de McDonald's (1986) - Story of Texas Happy Meal, conjunto de juguetes."
91,MC,Runaway Robots,1987,54.00,"Cajita Feliz de McDonald's (1987) - Runaway Robots, conjunto de juguetes."
92,MC,Little Engineer,1987,54.00,"Cajita Feliz de McDonald's (1987) - Little Engineer, conjunto de juguetes."
93,MC,Potato Head Kids,1987,54.00,"Cajita Feliz de McDonald's (1987) - Potato Head Kids, conjunto de juguetes."
94,MC,Crayola,1987,54.00,"Cajita Feliz de McDonald's (1987) - Crayola, conjunto de juguetes."
95,MC,Kissyfur,1987,54.00,"Cajita Feliz de McDonald's (1987) - Kissyfur, conjunto de juguetes."
96,MC,Fraggle Rock/Doozers,1987,54.00,"Cajita Feliz de McDonald's (1987) - Fraggle Rock/Doozers, conjunto de juguetes."
97,MC,McDonaldland Band,1987,54.00,"Cajita Feliz de McDonald's (1987) - McDonaldland Band, conjunto de juguetes."
98,MC,Super Summer,1987,54.00,"Cajita Feliz de McDonald's (1987) - Super Summer, conjunto de juguetes."
99,MC,Muppet Babies,1987,54.00,"Cajita Feliz de McDonald's (1987) - Muppet Babies, conjunto de juguetes."
100,MC,Design,1987,54.00,"Cajita Feliz de McDonald's (1987) - Design, conjunto de juguetes."
101,MC,Boats 'N Floats Happy Meal,1987,54.00,"Cajita Feliz de McDonald's (1987) - Boats 'N Floats Happy Meal, conjunto de juguetes."
102,MC,The Real Ghostbusters,1987,54.00,"Cajita Feliz de McDonald's (1987) - The Real Ghostbusters, conjunto de juguetes."
103,MC,Zoo Face,1987,54.00,"Cajita Feliz de McDonald's (1987) - Zoo Face, conjunto de juguetes."
104,MC,Halloween Pails,1987,54.00,Cajita Feliz de McDonald's (1987) - Halloween Pails.
105,MC,The Berenstain Bears,1987,54.00,"Cajita Feliz de McDonald's (1987) - The Berenstain Bears, conjunto de juguetes."
106,MC,Disney Favorites,1987,54.00,"Cajita Feliz de McDonald's (1987) - Disney Favorites, conjunto de juguetes."
107,MC,Bigfoot Happy Meal,1987,54.00,"Cajita Feliz de McDonald's (1987) - Bigfoot Happy Meal, conjunto de juguetes."
108,MC,Castlemakers/Sand Castle Happy Meal,1987,54.00,"Cajita Feliz de McDonald's (1987) - Castlemakers/Sand Castle Happy Meal, conjunto de juguetes."
109,MC,Changeables Happy Meal,1987,54.00,"Cajita Feliz de McDonald's (1987) - Changeables Happy Meal, conjunto de juguetes."
110,MC,Good Friends Happy Meal,1987,54.00,"Cajita Feliz de McDonald's (1987) - Good Friends Happy Meal, conjunto de juguetes."
111,MC,High,1987,54.00,"Cajita Feliz de McDonald's (1987) - High, conjunto de juguetes."
112,MC,Lunch Box Happy Meal,1987,54.00,"Cajita Feliz de McDonald's (1987) - Lunch Box Happy Meal, conjunto de juguetes."
113,MC,McDonaldland TV Lunch Box/Lunch Bunch,1987,54.00,"Cajita Feliz de McDonald's (1987) - McDonaldland TV Lunch Box/Lunch Bunch, conjunto de juguetes."
114,MC,Metro Zoo Happy Meal,1987,54.00,"Cajita Feliz de McDonald's (1987) - Metro Zoo Happy Meal, conjunto de juguetes."
115,MC,Sailors,1988,54.00,"Cajita Feliz de McDonald's (1988) - Sailors, conjunto de juguetes."
