ID,STORE,NAME,YEAR,RELEASE DATE,END DATE,TODAY RESELL ESTIMATED VALUE (USD)
105,MC,The Berenstain Bears,1987,1987-10-30,1987-11-29,
106,MC,Disney Favorites,1987,1987-11-30,1987-12-24,
107,MC,Bigfoot Happy Meal,1987,1987-01-01,,
108,MC,Castlemakers/Sand Castle Happy Meal,1987,,,
109,MC,Changeables Happy Meal,1987,1987-01-01,,
110,MC,Good Friends Happy Meal,1987,1987-01-01,,
111,MC,High,1987,,,
112,MC,Lunch Box Happy Meal,1987,1987-01-01,,
113,MC,McDonaldland TV Lunch Box/Lunch Bunch,1987,1987-01-01,,
114,MC,Metro Zoo Happy Meal,1987,1987-03-19,1987-03-19,
115,MC,Sailors,1988,1988-01-01,1988-01-01,
116,MC,DuckTales,1988,1988-02-05,1988-03-10,
117,MC,The New Archies,1988,,,
118,MC,SeaWorld of Ohio,1988,,,
119,MC,Fraggle Rock,1988,1988-03-11,1988-04-07,
120,MC,CosMc Crayola,1988,1988-04-15,1988-05-12,
121,MC,Super Summer,1988,1988-05-20,1988-06-23,
122,MC,SeaWorld of Texas,1988,,,
123,MC,Bambi,1988,1988-07-08,1988-08-04,
124,MC,Garfield,1988,1988-07-19,1988-07-19,
125,MC,On the Go Lunch Boxes,1988,1988-08-12,1988-09-08,
126,MC,Olympic Sports,1988,1988-09-09,1988-09-09,
127,MC,Peter Rabbit,1988,,,
128,MC,Zoo Face,1988,1988-09-30,1988-10-27,
129,MC,Halloween Pails,1988,1988-10-19,1988-10-19,
130,MC,Storybook Muppet Babies,1988,1988-10-28,1988-11-17,
131,MC,Oliver & Company,1988,1988-11-25,1988-12-22,
132,MC,McNugget Buddies,1988,1988-12-30,1989-01-26,
133,MC,Big Top,1988,1988-01-01,,
134,MC,Black History,1988,,,
135,MC,The Flintstone Kids,1988,,,
136,MC,Hot Wheels,1988,1988-01-01,,
137,MC,Luggage Tag,1988,1988-01-01,,
138,MC,Mac Tonight,1988,,,
139,MC,Matchbox Super GT,1988,1988-01-01,,
140,MC,McDonaldland Movables,1988,1988-01-01,,
141,MC,Sport Ball Happy Meal,1988,1988-01-01,,
142,MC,Turbo Macs,1988,1988-01-01,,
143,MC,Bedtime,1989,1989-02-03,1989-03-02,
144,MC,Mickey's Birthdayland,1989,1989-03-17,1989-04-20,
145,MC,McBunny/Earsan Pails,1989,,,
146,MC,Little Gardener,1989,1989-04-21,1989-05-18,
147,MC,New Food Changeables,1989,1989-05-19,1989-06-15,
148,MC,Dinosaur Talking Storybook Happy Meal,1989,,,
149,MC,Muppet Kids,1989,,,
150,MC,Read Along with Ronald,1989,,,
151,MC,Beach Toy Happy Meal,1989,1989-06-19,1989-06-19,
152,MC,Garfield,1989,1989-06-23,1989-07-20,
153,MC,Lego Motion,1989,1989-07-28,1989-08-24,
154,MC,Fun with Food,1989,1989-09-01,1989-09-01,
155,MC,Raggedy Ann and Andy,1989,1989-09-01,1989-09-01,
156,MC,Mix'em Up Monsters,1989,1989-09-19,1989-09-19,
157,MC,Halloween Pails,1989,1989-10-06,1989-10-06,
158,MC,Chip 'n Dale: Rescue Rangers,1989,1989-10-27,1989-11-23,
159,MC,The Little Mermaid,1989,1989-11-24,1989-12-21,
160,MC,Funny Fry Friends,1989,1989-12-22,1990-01-18,
161,MC,Burger Six Pack to Go Happy Meal,1989,,,
162,MC,Funny Fry Friends,1989,1989-01-01,,
163,MC,Rain or Shine,1989,1989-01-01,,
164,MC,SeaWorld of Texas,1989,,,
165,MC,McDonaldland Sunglasses,1989,1989-01-01,,
166,MC,The Berenstain Bears Books,1990,1990-01-26,1990-02-22,
167,MC,Happy Meal from the Heart/Valentine Happy Meal,1990,1990-02-02,1990-02-02,
168,MC,Peanuts,1990,1990-03-30,1990-04-26,
169,MC,Camp McDonaldland,1990,1990-04-27,1990-05-24,
170,MC,Summer Surprise,1990,,,
171,MC,Beach Toy Happy Meal,1990,1990-06-01,1990-06-01,
172,MC,Barbie/Hot Wheels,1990,1990-07-19,1990-07-19,
173,MC,I Like Bikes,1990,1990-07-19,1990-07-19,
174,MC,The Jungle Book,1990,1990-07-06,1990-08-02,
175,MC,Super Mario Bros. 3,1990,1990-08-03,1990-08-03,
176,MC,Dink the Little Dinosaur,1990,1990-08-19,1990-08-19,
177,MC,Tom & Jerry Band,1990,1990-09-02,1990-10-04,
178,MC,Turbo Macs,1990,1990-09-07,1990-10-04,
179,MC,Fry Benders,1990,1990-09-07,1990-10-04,
180,MC,McDonaldland Carnival,1990,1990-09-07,1990-10-04,
181,MC,Sports Ball Happy Meal,1990,1990-09-07,1990-10-04,
182,MC,Hats,1990,1990-09-07,1990-10-04,
183,MC,McDonaldland Dough,1990,1990-09-07,1990-10-04,
184,MC,McDrive Thru Crew,1990,1990-09-07,1990-10-04,
185,MC,Halloween Pails,1990,1990-10-05,1990-10-05,
186,MC,TaleSpin,1990,1990-11-02,1990-11-02,
187,MC,The Rescuers Down Under,1990,1990-11-30,1990-12-27,
188,MC,Good Morning,1991,1991-01-04,1991-01-04,
189,MC,Tiny Toon Adventures,1991,1991-02-08,1991-02-08,
190,MC,Alvin and the Chipmunks,1991,1991-03-08,1991-04-12,
191,MC,Muppet Babies,1991,1991-03-08,1991-04-11,
192,MC,Gravedale High,1991,1991-03-14,1991-04-11,
193,MC,McDonaldland Circus Parade,1991,1991-03-14,1991-04-11,
194,MC,Mighty Mini Happy Meal,1991,1991-03-14,1991-04-11,
195,MC,Piggsburg Pigs,1991,1991-03-14,1991-04-11,
196,MC,Nature's Helper,1991,1991-04-12,1991-05-16,
197,MC,McDino Changeables,1991,1991-05-24,1991-06-20,
198,MC,Breakfast Happy Meal,1991,,,
199,MC,101 Dalmatians,1991,1991-07-05,1991-08-01,
200,MC,Sports Ball,1991,1991-09-19,1991-09-19,
201,MC,Barbie/Hot Wheels,1991,1991-08-02,1991-08-02,
202,MC,Connectibles,1991,1991-08-29,1991-09-05,
203,MC,Crazy Vehicles,1991,1991-08-29,1991-09-05,
204,MC,McCharacters on Bikes/McDonaldland on Wheels,1991,1991-08-29,1991-09-06,
205,MC,Discover the Rainforest,1991,1991-09-06,1991-10-03,
206,MC,Friendly Skies,1991,1991-10-10,1991-12-19,
207,MC,McBoo Bags and Buckets,1991,1991-10-11,1991-10-11,
208,MC,Super Looney Tunes,1991,1991-11-08,1991-12-05,
209,MC,Hook,1991,1991-12-13,1992-01-09,
210,MC,McDonald's Pizza Happy Sack,1991,1991-01-01,,
211,MC,Crayon Sketch toys,1992,,,
212,MC,Mystery of the Lost Arches toys,1992,1992-01-03,1992-01-03,
213,MC,Potato Head Kids toys,1992,1992-01-31,1992-01-31,
214,MC,Crayon Squeeze Bottles,1992,1992-01-31,1992-03-05,
215,MC,The Real Ghostbusters,1992,1992-01-31,1992-03-05,
216,MC,Water Games,1992,1992-01-31,1992-03-05,
217,MC,Wild Friends,1992,1992-01-31,1992-03-05,
218,MC,Yo Yogi!,1992,1992-01-31,1992-03-05,
219,MC,Young Astronauts toys,1992,1992-03-06,1992-03-06,
220,MC,Back to the Future: The Animated Series,1992,1992-04-10,1992-04-10,
221,MC,Nature's Watch toys,1992,1992-05-08,1992-05-08,
222,MC,Batman Returns,1992,1992-06-12,1992-07-09,
223,MC,Michael Jordan Fitness Fun toys,1992,1992-07-10,1992-07-10,
224,MC,Barbie & Hot Wheels Mini Streex toys,1992,1992-08-07,1992-08-07,
225,MC,Behind the Scenes toys,1992,1992-09-11,1992-09-11,
226,MC,Halloween Pails,1992,1992-10-09,1992-10-09,
227,MC,Tiny Toon Adventures Cars,1992,1992-10-30,1992-10-30,
228,MC,Tonka & Cabbage Patch toys,1992,1992-11-27,1992-11-27,
229,MC,M,1993,1993-01-08,1993-01-08,
230,MC,Dinosaurs toys,1993,1993-02-05,1993-02-05,
231,MC,Food Fundamentals,1993,1993-03-05,1993-04-08,
232,MC,Looney Tunes Quack,1993,1993-04-09,1993-04-09,
233,MC,Out for Fun,1993,1993-05-07,1993-06-10,
234,MC,Nickelodeon Game Gadgets,1993,1993-06-11,1993-07-08,
235,MC,Snow White and the Seven Dwarfs toys,1993,1993-07-09,1993-07-09,
236,MC,Barbie & Hot Wheels Racing toys,1993,1993-08-06,1993-08-06,
237,MC,Linkables toys,1993,,,
238,MC,Field Trip toys,1993,1993-09-10,1993-09-10,
239,MC,Halloween McNugget Buddies toys,1993,1993-10-08,1993-10-08,
240,MC,Batman,1993,1993-11-05,1993-11-05,
241,MC,Mattel's Totally Toy Holiday toys,1993,1993-12-10,1993-12-10,
242,MC,Makin' Movies toys,1994,1994-01-07,1994-01-07,
243,MC,Sonic the Hedgehog 3,1994,1994-02-04,1994-03-03,
244,MC,Bobby's World toys,1994,1994-03-04,1994-03-04,
245,MC,Earth Days toys,1994,1994-04-08,1994-04-08,
246,MC,Animaniacs,1994,1994-05-06,1994-06-02,
247,MC,The Flintstones toys,1994,1994-06-03,1994-06-03,
248,MC,Epcot Center toys,1994,1994-07-08,1994-07-08,
249,MC,Barbie & Hot Wheels toys,1994,1994-08-05,1994-08-05,
250,MC,The Magic School Bus toys,1994,1994-09-09,1994-09-09,
251,MC,Halloween Pails,1994,1994-10-07,1994-10-07,
252,MC,Happy Birthday Happy Meal,1994,1994-10-28,1994-12-01,
253,MC,Tonka & Cabbage Patch Kids toys,1994,1994-12-02,1994-12-02,
254,MC,Muppet Workshop toys,1995,1995-01-06,1995-01-06,
255,MC,Polly Pocket & Attack Pack toys,1995,1995-02-03,1995-02-03,
256,MC,Space Rescue,1995,1995-03-03,1995-03-03,
257,MC,Amazing Wildlife toys,1995,1995-04-01,1995-04-01,
258,MC,Spider,1995,1995-05-01,1995-05-01,
259,MC,Disneyland Adventures toys,1995,1995-06-01,1995-06-01,
260,MC,Mighty Morphin Power Rangers: The Movie,1995,1995-07-01,1995-07-01,
261,MC,Barbie & Hot Wheels Attack Pack toys,1995,1995-08-01,1995-08-01,
262,MC,The Busy World of Richard Scarry,1995,1995-09-01,1995-09-01,
263,MC,What am I going to be for Halloween?,1995,1995-10-01,1995-10-01,
264,MC,Animaniacs toys,1995,1995-11-01,1995-11-01,
265,MC,Mattel's Totally Toy Holiday toys,1995,1995-12-01,1995-12-01,
266,MC,VR Troopers toys,1996,1996-01-19,1996-01-19,
267,MC,Muppet Treasure Island toys,1996,1996-02-16,1996-02-16,
268,MC,Transformers / Littlest Pet Shop toys,1996,1996-03-15,1996-03-15,
269,MC,Walt Disney Masterpiece Collection toys,1996,1996-04-19,1996-04-19,
270,MC,Marvel Super Heroes,1996,1996-05-17,1996-06-14,
271,MC,Babe toys,1996,1996-06-14,1996-06-14,
272,MC,Barbie / Hot Wheels toys,1996,1996-07-12,1996-07-12,
273,MC,Aladdin and the King of Thieves toys,1996,1996-08-16,1996-08-16,
274,MC,Eric Carle toys,1996,1996-09-20,1996-09-20,
275,MC,Halloween McNugget Buddies,1996,1996-10-11,1996-10-11,
276,MC,Space Jam toys,1996,1996-11-01,1996-11-01,
277,MC,101 Dalmatians,1996,1996-11-27,1996-01-02,
278,MC,Nickelodeon Tangle toys,1997,1997-01-10,1997-01-10,
279,MC,Mighty Ducks pucks,1997,1997-02-07,1997-03-06,
280,MC,The Hunchback of Notre Dame,1997,1997-03-07,1997-04-03,
281,MC,Ty Teenie Beanie Babies toys,1997,1997-04-11,1997-04-11,
282,MC,Walt Disney Home Video Masterpiece Collection,1997,1997-04-25,1997-05-21,
283,MC,Micro Machines / Spinning Sky Dancers,1997,1997-05-30,1997-06-19,
284,MC,Hercules toys,1997,1997-06-20,1997-06-20,
285,MC,Endangered Animal Pals,1997,1997-08-01,1997-08-01,
286,MC,Beetleborgs Metallix toys,1997,1997-08-15,1997-08-15,
287,MC,Sleeping Beauty,1997,1997-09-12,1997-10-02,
288,MC,The Jungle Book,1997,1997-10-03,1997-10-03,
289,MC,Barbie / Hot Wheels,1997,1997-10-24,1997-11-27,
